age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
58;management;married;tertiary;True;2143;True;True;unknown;5;may;261;1;-1;0;unknown;True
44;technician;single;secondary;True;29;True;True;unknown;5;may;151;1;-1;0;unknown;True
33;entrepreneur;married;secondary;True;2;True;True;unknown;5;may;76;1;-1;0;unknown;True
47;blue-collar;married;unknown;True;1506;True;True;unknown;5;may;92;1;-1;0;unknown;True
33;unknown;single;unknown;True;1;True;True;unknown;5;may;198;1;-1;0;unknown;True
35;management;married;tertiary;True;231;True;True;unknown;5;may;139;1;-1;0;unknown;True
28;management;single;tertiary;True;447;True;True;unknown;5;may;217;1;-1;0;unknown;True
42;entrepreneur;divorced;tertiary;True;2;True;True;unknown;5;may;380;1;-1;0;unknown;True
58;retired;married;primary;True;121;True;True;unknown;5;may;50;1;-1;0;unknown;True
43;technician;single;secondary;True;593;True;True;unknown;5;may;55;1;-1;0;unknown;True
41;admin.;divorced;secondary;True;270;True;True;unknown;5;may;222;1;-1;0;unknown;True
29;admin.;single;secondary;True;390;True;True;unknown;5;may;137;1;-1;0;unknown;True
53;technician;married;secondary;True;6;True;True;unknown;5;may;517;1;-1;0;unknown;True
58;technician;married;unknown;True;71;True;True;unknown;5;may;71;1;-1;0;unknown;True
57;services;married;secondary;True;162;True;True;unknown;5;may;174;1;-1;0;unknown;True
51;retired;married;primary;True;229;True;True;unknown;5;may;353;1;-1;0;unknown;True
45;admin.;single;unknown;True;13;True;True;unknown;5;may;98;1;-1;0;unknown;True
57;blue-collar;married;primary;True;52;True;True;unknown;5;may;38;1;-1;0;unknown;True
60;retired;married;primary;True;60;True;True;unknown;5;may;219;1;-1;0;unknown;True
33;services;married;secondary;True;0;True;True;unknown;5;may;54;1;-1;0;unknown;True
28;blue-collar;married;secondary;True;723;True;True;unknown;5;may;262;1;-1;0;unknown;True
56;management;married;tertiary;True;779;True;True;unknown;5;may;164;1;-1;0;unknown;True
32;blue-collar;single;primary;True;23;True;True;unknown;5;may;160;1;-1;0;unknown;True
25;services;married;secondary;True;50;True;True;unknown;5;may;342;1;-1;0;unknown;True
40;retired;married;primary;True;0;True;True;unknown;5;may;181;1;-1;0;unknown;True
44;admin.;married;secondary;True;-372;True;True;unknown;5;may;172;1;-1;0;unknown;True
39;management;single;tertiary;True;255;True;True;unknown;5;may;296;1;-1;0;unknown;True
52;entrepreneur;married;secondary;True;113;True;True;unknown;5;may;127;1;-1;0;unknown;True
46;management;single;secondary;True;-246;True;True;unknown;5;may;255;2;-1;0;unknown;True
36;technician;single;secondary;True;265;True;True;unknown;5;may;348;1;-1;0;unknown;True
57;technician;married;secondary;True;839;True;True;unknown;5;may;225;1;-1;0;unknown;True
49;management;married;tertiary;True;378;True;True;unknown;5;may;230;1;-1;0;unknown;True
60;admin.;married;secondary;True;39;True;True;unknown;5;may;208;1;-1;0;unknown;True
59;blue-collar;married;secondary;True;0;True;True;unknown;5;may;226;1;-1;0;unknown;True
51;management;married;tertiary;True;10635;True;True;unknown;5;may;336;1;-1;0;unknown;True
57;technician;divorced;secondary;True;63;True;True;unknown;5;may;242;1;-1;0;unknown;True
25;blue-collar;married;secondary;True;-7;True;True;unknown;5;may;365;1;-1;0;unknown;True
53;technician;married;secondary;True;-3;True;True;unknown;5;may;1666;1;-1;0;unknown;True
36;admin.;divorced;secondary;True;506;True;True;unknown;5;may;577;1;-1;0;unknown;True
37;admin.;single;secondary;True;0;True;True;unknown;5;may;137;1;-1;0;unknown;True
44;services;divorced;secondary;True;2586;True;True;unknown;5;may;160;1;-1;0;unknown;True
50;management;married;secondary;True;49;True;True;unknown;5;may;180;2;-1;0;unknown;True
60;blue-collar;married;unknown;True;104;True;True;unknown;5;may;22;1;-1;0;unknown;True
54;retired;married;secondary;True;529;True;True;unknown;5;may;1492;1;-1;0;unknown;True
58;retired;married;unknown;True;96;True;True;unknown;5;may;616;1;-1;0;unknown;True
36;admin.;single;primary;True;-171;True;True;unknown;5;may;242;1;-1;0;unknown;True
58;self-employed;married;tertiary;True;-364;True;True;unknown;5;may;355;1;-1;0;unknown;True
44;technician;married;secondary;True;0;True;True;unknown;5;may;225;2;-1;0;unknown;True
55;technician;divorced;secondary;True;0;True;True;unknown;5;may;160;1;-1;0;unknown;True
29;management;single;tertiary;True;0;True;True;unknown;5;may;363;1;-1;0;unknown;True
54;blue-collar;married;secondary;True;1291;True;True;unknown;5;may;266;1;-1;0;unknown;True
48;management;divorced;tertiary;True;-244;True;True;unknown;5;may;253;1;-1;0;unknown;True
32;management;married;tertiary;True;0;True;True;unknown;5;may;179;1;-1;0;unknown;True
42;admin.;single;secondary;True;-76;True;True;unknown;5;may;787;1;-1;0;unknown;True
24;technician;single;secondary;True;-103;True;True;unknown;5;may;145;1;-1;0;unknown;True
38;entrepreneur;single;tertiary;True;243;True;True;unknown;5;may;174;1;-1;0;unknown;True
38;management;single;tertiary;True;424;True;True;unknown;5;may;104;1;-1;0;unknown;True
47;blue-collar;married;unknown;True;306;True;True;unknown;5;may;13;1;-1;0;unknown;True
40;blue-collar;single;unknown;True;24;True;True;unknown;5;may;185;1;-1;0;unknown;True
46;services;married;primary;True;179;True;True;unknown;5;may;1778;1;-1;0;unknown;True
32;admin.;married;tertiary;True;0;True;True;unknown;5;may;138;1;-1;0;unknown;True
53;technician;divorced;secondary;True;989;True;True;unknown;5;may;812;1;-1;0;unknown;True
57;blue-collar;married;primary;True;249;True;True;unknown;5;may;164;1;-1;0;unknown;True
33;services;married;secondary;True;790;True;True;unknown;5;may;391;1;-1;0;unknown;True
49;blue-collar;married;unknown;True;154;True;True;unknown;5;may;357;1;-1;0;unknown;True
51;management;married;tertiary;True;6530;True;True;unknown;5;may;91;1;-1;0;unknown;True
60;retired;married;tertiary;True;100;True;True;unknown;5;may;528;1;-1;0;unknown;True
59;management;divorced;tertiary;True;59;True;True;unknown;5;may;273;1;-1;0;unknown;True
55;technician;married;secondary;True;1205;True;True;unknown;5;may;158;2;-1;0;unknown;True
35;blue-collar;single;secondary;True;12223;True;True;unknown;5;may;177;1;-1;0;unknown;True
57;blue-collar;married;secondary;True;5935;True;True;unknown;5;may;258;1;-1;0;unknown;True
31;services;married;secondary;True;25;True;True;unknown;5;may;172;1;-1;0;unknown;True
54;management;married;secondary;True;282;True;True;unknown;5;may;154;1;-1;0;unknown;True
55;blue-collar;married;primary;True;23;True;True;unknown;5;may;291;1;-1;0;unknown;True
43;technician;married;secondary;True;1937;True;True;unknown;5;may;181;1;-1;0;unknown;True
53;technician;married;secondary;True;384;True;True;unknown;5;may;176;1;-1;0;unknown;True
44;blue-collar;married;secondary;True;582;True;True;unknown;5;may;211;1;-1;0;unknown;True
55;services;divorced;secondary;True;91;True;True;unknown;5;may;349;1;-1;0;unknown;True
49;services;divorced;secondary;True;0;True;True;unknown;5;may;272;1;-1;0;unknown;True
55;services;divorced;secondary;True;1;True;True;unknown;5;may;208;1;-1;0;unknown;True
45;admin.;single;secondary;True;206;True;True;unknown;5;may;193;1;-1;0;unknown;True
47;services;divorced;secondary;True;164;True;True;unknown;5;may;212;1;-1;0;unknown;True
42;technician;single;secondary;True;690;True;True;unknown;5;may;20;1;-1;0;unknown;True
59;admin.;married;secondary;True;2343;True;True;unknown;5;may;1042;1;-1;0;unknown;True
46;self-employed;married;tertiary;True;137;True;True;unknown;5;may;246;1;-1;0;unknown;True
51;blue-collar;married;primary;True;173;True;True;unknown;5;may;529;2;-1;0;unknown;True
56;admin.;married;secondary;True;45;True;True;unknown;5;may;1467;1;-1;0;unknown;True
41;technician;married;secondary;True;1270;True;True;unknown;5;may;1389;1;-1;0;unknown;True
46;management;divorced;secondary;True;16;True;True;unknown;5;may;188;2;-1;0;unknown;True
57;retired;married;secondary;True;486;True;True;unknown;5;may;180;2;-1;0;unknown;True
42;management;single;secondary;True;50;True;True;unknown;5;may;48;1;-1;0;unknown;True
30;technician;married;secondary;True;152;True;True;unknown;5;may;213;2;-1;0;unknown;True
